Time(ms),Method,Roll,Pitch
825.0,ACCEL,10.843,-1.779
825.0,GYRO,10.102,2.696
825.0,COMP,12.898,-1.226
835.0,ACCEL,12.108,-1.812
835.0,GYRO,12.012,2.215
835.0,COMP,14.754,-1.709
845.0,ACCEL,14.016,-1.286
845.0,GYRO,13.902,1.795
845.0,COMP,16.591,-2.113
855.0,ACCEL,17.359,-3.49
855.0,GYRO,15.307,1.497
855.0,COMP,17.984,-2.433
865.0,ACCEL,15.962,-1.897
865.0,GYRO,16.204,1.325
865.0,COMP,18.822,-2.59
875.0,ACCEL,16.978,-0.899
875.0,GYRO,16.836,1.234
875.0,COMP,19.405,-2.646
885.0,ACCEL,17.169,-1.434
885.0,GYRO,17.149,1.172
885.0,COMP,19.667,-2.682
896.0,ACCEL,17.576,-1.841
896.0,GYRO,17.355,1.102
896.0,COMP,19.827,-2.734
906.0,ACCEL,17.578,-1.764
906.0,GYRO,17.522,1.055
906.0,COMP,19.946,-2.76
916.0,ACCEL,16.802,-1.946
916.0,GYRO,17.69,1.009
916.0,COMP,20.048,-2.789
926.0,ACCEL,16.512,-1.579
926.0,GYRO,18.025,0.992
926.0,COMP,20.305,-2.782
937.0,ACCEL,17.171,-2.133
937.0,GYRO,18.626,1.05
937.0,COMP,20.831,-2.712
946.0,ACCEL,17.565,-2.5
946.0,GYRO,19.315,1.116
946.0,COMP,21.441,-2.643
956.0,ACCEL,18.373,-2.439
956.0,GYRO,20.073,1.147
956.0,COMP,22.123,-2.608
966.0,ACCEL,19.918,-2.187
966.0,GYRO,21.018,1.156
966.0,COMP,23.005,-2.591
976.0,ACCEL,21.065,-2.429
976.0,GYRO,22.072,1.112
976.0,COMP,23.999,-2.631
986.0,ACCEL,19.511,-2.033
986.0,GYRO,23.181,1.012
986.0,COMP,24.996,-2.717
996.0,ACCEL,21.087,-2.261
996.0,GYRO,24.464,0.908
996.0,COMP,26.175,-2.81
1006.0,ACCEL,24.476,-2.631
1006.0,GYRO,25.49,0.838
1006.0,COMP,27.146,-2.875
1016.0,ACCEL,24.284,-2.735
1016.0,GYRO,26.165,0.821
1016.0,COMP,27.751,-2.889
1026.0,ACCEL,24.2,-2.177
1026.0,GYRO,26.776,0.878
1026.0,COMP,28.279,-2.819
1036.0,ACCEL,24.216,-2.443
1036.0,GYRO,27.355,0.933
1036.0,COMP,28.765,-2.758
1046.0,ACCEL,24.427,-2.426
1046.0,GYRO,27.932,0.977
1046.0,COMP,29.243,-2.707
1056.0,ACCEL,25.324,-2.422
1056.0,GYRO,28.678,1.059
1056.0,COMP,29.896,-2.621
1067.0,ACCEL,26.13,-2.528
1067.0,GYRO,29.509,1.122
1067.0,COMP,30.635,-2.558
1077.0,ACCEL,25.299,-3.219
1077.0,GYRO,30.441,1.156
1077.0,COMP,31.442,-2.538
1087.0,ACCEL,27.166,-3.292
1087.0,GYRO,31.511,1.129
1087.0,COMP,32.405,-2.579
1097.0,ACCEL,26.603,-2.64
1097.0,GYRO,32.648,1.011
1097.0,COMP,33.403,-2.696
1108.0,ACCEL,29.133,-3.245
1108.0,GYRO,33.926,0.942
1108.0,COMP,34.57,-2.775
1117.0,ACCEL,29.982,-3.061
1117.0,GYRO,34.96,0.839
1117.0,COMP,35.492,-2.881
1127.0,ACCEL,30.697,-3.531
1127.0,GYRO,36.134,0.654
1127.0,COMP,36.546,-3.075
1137.0,ACCEL,30.192,-2.191
1137.0,GYRO,37.125,0.613
1137.0,COMP,37.39,-3.098
1147.0,ACCEL,33.616,-3.557
1147.0,GYRO,38.088,0.513
1147.0,COMP,38.259,-3.205
1157.0,ACCEL,34.195,-3.316
1157.0,GYRO,38.983,0.3
1157.0,COMP,39.054,-3.417
1167.0,ACCEL,32.85,-2.263
1167.0,GYRO,39.716,0.288
1167.0,COMP,39.649,-3.405
1177.0,ACCEL,35.473,-3.688
1177.0,GYRO,40.325,0.265
1177.0,COMP,40.162,-3.434
1187.0,ACCEL,35.247,-3.739
1187.0,GYRO,40.813,0.183
1187.0,COMP,40.542,-3.52
1197.0,ACCEL,33.108,-3.653
1197.0,GYRO,41.642,0.2
1197.0,COMP,41.206,-3.506
1207.0,ACCEL,35.886,-3.67
1207.0,GYRO,42.631,0.233
1207.0,COMP,42.069,-3.477
1217.0,ACCEL,38.275,-3.73
1217.0,GYRO,43.571,0.157
1217.0,COMP,42.913,-3.556
1227.0,ACCEL,35.912,-3.006
1227.0,GYRO,44.491,0.024
1227.0,COMP,43.676,-3.676
1237.0,ACCEL,34.654,-2.087
1237.0,GYRO,45.5,0.095
1237.0,COMP,44.484,-3.574
1247.0,ACCEL,39.598,-4.312
1247.0,GYRO,46.479,0.076
1247.0,COMP,45.345,-3.608
1257.0,ACCEL,40.232,-4.565
1257.0,GYRO,47.373,-0.108
1257.0,COMP,46.12,-3.807
1267.0,ACCEL,40.063,-4.032
1267.0,GYRO,48.226,-0.311
1267.0,COMP,46.834,-4.011
1278.0,ACCEL,41.853,-4.668
1278.0,GYRO,48.767,-0.413
1278.0,COMP,47.265,-4.123
1287.0,ACCEL,41.412,-4.045
1287.0,GYRO,49.149,-0.476
1287.0,COMP,47.522,-4.184
1297.0,ACCEL,41.903,-4.278
1297.0,GYRO,49.433,-0.567
1297.0,COMP,47.688,-4.275
1307.0,ACCEL,41.935,-4.031
1307.0,GYRO,49.573,-0.637
1307.0,COMP,47.711,-4.338
1317.0,ACCEL,40.897,-4.124
1317.0,GYRO,49.754,-0.67
1317.0,COMP,47.751,-4.367
1327.0,ACCEL,42.537,-3.967
1327.0,GYRO,49.996,-0.692
1327.0,COMP,47.885,-4.38
1337.0,ACCEL,42.217,-4.486
1337.0,GYRO,50.199,-0.713
1337.0,COMP,47.97,-4.403
1347.0,ACCEL,42.369,-4.308
1347.0,GYRO,50.41,-0.738
1347.0,COMP,48.064,-4.426
1357.0,ACCEL,41.805,-4.518
1357.0,GYRO,50.673,-0.748
1357.0,COMP,48.197,-4.437
1367.0,ACCEL,42.722,-4.797
1367.0,GYRO,50.992,-0.748
1367.0,COMP,48.4,-4.445
1377.0,ACCEL,42.783,-4.634
1377.0,GYRO,51.286,-0.76
1377.0,COMP,48.576,-4.459
1387.0,ACCEL,43.579,-5.335
1387.0,GYRO,51.566,-0.769
1387.0,COMP,48.75,-4.486
1397.0,ACCEL,43.725,-4.612
1397.0,GYRO,51.869,-0.783
1397.0,COMP,48.947,-4.502
1408.0,ACCEL,44.231,-4.378
1408.0,GYRO,52.135,-0.802
1408.0,COMP,49.114,-4.519
1418.0,ACCEL,43.247,-4.439
1418.0,GYRO,52.39,-0.788
1418.0,COMP,49.246,-4.503
1428.0,ACCEL,43.58,-4.985
1428.0,GYRO,52.715,-0.774
1428.0,COMP,49.451,-4.499
1438.0,ACCEL,45.6,-4.697
1438.0,GYRO,52.959,-0.789
1438.0,COMP,49.613,-4.518
1449.0,ACCEL,44.893,-4.381
1449.0,GYRO,53.109,-0.811
1449.0,COMP,49.665,-4.536
1458.0,ACCEL,44.493,-4.87
1458.0,GYRO,53.235,-0.762
1458.0,COMP,49.686,-4.495
1468.0,ACCEL,44.405,-4.675
1468.0,GYRO,53.253,-0.748
1468.0,COMP,49.597,-4.485
1478.0,ACCEL,44.029,-4.454
1478.0,GYRO,53.4,-0.723
1478.0,COMP,49.63,-4.46
1488.0,ACCEL,44.654,-4.761
1488.0,GYRO,53.624,-0.671
1488.0,COMP,49.75,-4.415
1498.0,ACCEL,45.187,-4.672
1498.0,GYRO,53.787,-0.681
1498.0,COMP,49.819,-4.43
1508.0,ACCEL,45.496,-4.89
1508.0,GYRO,53.905,-0.685
1508.0,COMP,49.848,-4.443
1518.0,ACCEL,45.667,-4.877
1518.0,GYRO,53.969,-0.694
1518.0,COMP,49.827,-4.46
1528.0,ACCEL,45.336,-4.621
1528.0,GYRO,53.986,-0.711
1528.0,COMP,49.754,-4.481
1538.0,ACCEL,45.914,-5.112
1538.0,GYRO,53.97,-0.73
1538.0,COMP,49.662,-4.512
1548.0,ACCEL,45.842,-5.009
1548.0,GYRO,53.896,-0.756
1548.0,COMP,49.512,-4.547
1558.0,ACCEL,45.913,-4.729
1558.0,GYRO,53.782,-0.788
1558.0,COMP,49.329,-4.582
1568.0,ACCEL,45.313,-4.886
1568.0,GYRO,53.661,-0.809
1568.0,COMP,49.13,-4.609
1579.0,ACCEL,44.165,-4.623
1579.0,GYRO,53.637,-0.808
1579.0,COMP,49.007,-4.608
1589.0,ACCEL,45.562,-4.697
1589.0,GYRO,53.669,-0.822
1589.0,COMP,48.97,-4.623
1599.0,ACCEL,44.39,-4.791
1599.0,GYRO,53.711,-0.819
1599.0,COMP,48.919,-4.624
1609.0,ACCEL,44.724,-4.476
1609.0,GYRO,53.91,-0.813
1609.0,COMP,49.03,-4.615
1620.0,ACCEL,45.965,-5.015
1620.0,GYRO,54.066,-0.829
1620.0,COMP,49.122,-4.639
1629.0,ACCEL,45.049,-4.907
1629.0,GYRO,54.203,-0.845
1629.0,COMP,49.174,-4.66
1639.0,ACCEL,46.297,-5.474
1639.0,GYRO,54.318,-0.847
1639.0,COMP,49.23,-4.678
1649.0,ACCEL,46.282,-5.329
1649.0,GYRO,54.365,-0.848
1649.0,COMP,49.217,-4.692
1659.0,ACCEL,45.957,-5.258
1659.0,GYRO,54.405,-0.844
1659.0,COMP,49.191,-4.7
1669.0,ACCEL,46.091,-4.92
1669.0,GYRO,54.388,-0.841
1669.0,COMP,49.112,-4.701
1679.0,ACCEL,44.776,-5.103
1679.0,GYRO,54.406,-0.817
1679.0,COMP,49.044,-4.685
1689.0,ACCEL,45.081,-5.583
1689.0,GYRO,54.568,-0.775
1689.0,COMP,49.123,-4.663
1699.0,ACCEL,46.355,-4.792
1699.0,GYRO,54.689,-0.749
1699.0,COMP,49.186,-4.64
1709.0,ACCEL,46.299,-5.541
1709.0,GYRO,54.783,-0.719
1709.0,COMP,49.22,-4.628
1719.0,ACCEL,45.625,-5.244
1719.0,GYRO,54.845,-0.698
1719.0,COMP,49.209,-4.62
1729.0,ACCEL,46.359,-5.494
1729.0,GYRO,54.922,-0.668
1729.0,COMP,49.228,-4.607
1739.0,ACCEL,46.405,-5.255
1739.0,GYRO,54.943,-0.656
1739.0,COMP,49.191,-4.609
1749.0,ACCEL,46.33,-5.44
1749.0,GYRO,54.913,-0.655
1749.0,COMP,49.106,-4.625
1759.0,ACCEL,45.505,-5.251
1759.0,GYRO,54.945,-0.642
1759.0,COMP,49.065,-4.625
1769.0,ACCEL,45.767,-5.554
1769.0,GYRO,54.994,-0.636
1769.0,COMP,49.046,-4.637
1779.0,ACCEL,46.504,-5.326
1779.0,GYRO,55.032,-0.63
1779.0,COMP,49.033,-4.645
1790.0,ACCEL,45.286,-5.199
1790.0,GYRO,55.144,-0.602
1790.0,COMP,49.067,-4.629
1799.0,ACCEL,46.706,-5.436
1799.0,GYRO,55.265,-0.577
1799.0,COMP,49.139,-4.62
1809.0,ACCEL,46.621,-5.339
1809.0,GYRO,55.327,-0.56
1809.0,COMP,49.149,-4.618
1819.0,ACCEL,46.487,-5.399
1819.0,GYRO,55.338,-0.561
1819.0,COMP,49.107,-4.634
1829.0,ACCEL,46.511,-5.406
1829.0,GYRO,55.319,-0.566
1829.0,COMP,49.037,-4.655
1839.0,ACCEL,46.427,-5.56
1839.0,GYRO,55.308,-0.563
1839.0,COMP,48.973,-4.67
1849.0,ACCEL,45.922,-5.305
1849.0,GYRO,55.33,-0.553
1849.0,COMP,48.935,-4.673
1859.0,ACCEL,46.249,-5.259
1859.0,GYRO,55.383,-0.542
1859.0,COMP,48.932,-4.674
1869.0,ACCEL,46.402,-5.362
1869.0,GYRO,55.454,-0.537
1869.0,COMP,48.951,-4.683
1879.0,ACCEL,47.117,-5.7
1879.0,GYRO,55.486,-0.538
